W,I
1290.935816177423,15.5
1291.4151413755105,17.6
1291.8943955764814,8.3
1292.3735787864246,13.6
1292.852691011431,14.5
1293.331732257596,17.2
1293.810702531009,16.2
1294.2896018377626,15.2
1294.7684301839545,11.3
1295.2471875756648,20.2
1295.7258740190046,19.6
1296.2044895200556,17.7
1296.6830340849158,13.2
1297.161507719676,8.2
1297.639910430434,14.0
1298.1182422232891,9.5
1298.59650310432,14.7
1299.0746930796388,10.0
1299.5528121553368,14.0
1300.0308603375072,12.3
1300.5088376322453,11.2
1300.9867440456467,13.6
1301.4645795838176,13.7
1301.9423442528423,10.4
1302.420038058823,18.2
1302.8976610078591,15.6
1303.3752131060482,13.2
1303.8526943594816,10.5
1304.3301047742698,17.9
1304.8074443565015,10.8
1305.2847131122767,15.5
1305.761911047697,10.3
1306.239038168862,9.4
1306.7160944818697,12.6
1307.1930799928173,11.8
1307.669994707809,11.5
1308.146838632947,13.5
1308.6236117743283,10.6
1309.100314138053,14.2
1309.5769457302226,16.2
1310.0535065569438,20.3
1310.5299966243117,20.9
1311.0064159384326,15.5
1311.482764505404,21.7
1311.9590423313364,12.8
1312.4352494223256,14.2
1312.911385784475,16.1
1313.3874514238958,16.4
1313.8634463466785,16.6
1314.3393705589385,17.8
1314.815224066773,20.8
1315.291006876286,17.7
1315.7667189935928,20.4
1316.2423604247842,17.1
1316.717931175975,22.5
1317.1934312532674,16.2
1317.6688606627652,19.1
1318.144219410579,10.2
1318.619507502813,17.2
1319.0947249455687,15.0
1319.5698717449593,24.9
1320.0449479070908,23.1
1320.5199534380695,14.5
1320.9948883440059,19.0
1321.4697526309974,12.0
1321.9445463051659,18.2
1322.4192693726106,13.1
1322.893921839449,20.9
1323.3685037117782,12.0
1323.8430149957132,16.6
1324.317455697363,15.5
1324.7918258228374,24.7
1325.2661253782514,17.1
1325.7403543697073,21.7
1326.2145128033198,23.0
1326.6886006851928,13.6
1327.162618021448,19.0
1327.6365648181913,17.3
1328.1104410815337,13.7
1328.5842468175854,17.0
1329.0579820324676,18.8
1329.5316467322784,22.9
1330.0052409231434,11.6
1330.4787646111643,20.2
1330.9522178024604,21.4
1331.4256005031443,14.3
1331.8989127193336,22.7
1332.372154457136,19.5
1332.8453257226645,17.1
1333.318426522043,17.5
1333.7914568613708,13.3
1334.2644167467759,19.1
1334.737306184369,26.6
1335.2101251802671,22.5
1335.6828737405806,17.1
1336.1555518714333,23.7
1336.6281595789337,20.6
1337.100696869205,12.3
1337.5731637483536,24.3
1338.045560222512,16.3
1338.5178862977816,23.2
1338.990141980293,16.7
1339.4623272761542,18.2
1339.9344421914845,19.2
1340.4064867324098,22.1
1340.8784609050406,22.8
1341.350364715496,19.5
1341.8221981699019,18.6
