W,I
2574.1484035471926,-12.0
2574.5147585366603,-15.8
2574.8810571438553,-14.8
2575.2472993730253,-30.6
2575.6134852284354,-17.0
2575.9796147143375,-21.2
2576.3456878349866,-19.4
2576.71170459465,-20.8
2577.077664997576,-18.0
2577.443569048031,-16.0
2577.8094167502722,-18.4
2578.175208108556,-15.6
2578.5409431271482,-18.4
2578.906621810305,-19.0
2579.2722441622846,-15.2
2579.6378101873597,-20.8
2580.0033198897795,-18.8
2580.36877327381,-24.2
2580.7341703437205,-18.8
2581.099511103765,-25.4
2581.464795558212,-14.4
2581.8300237113276,-23.0
2582.1951955673712,-13.8
2582.5603111306123,-16.2
2582.92537040531,-20.0
2583.2903733957355,-19.2
2583.6553201061547,-20.0
2584.0202105408275,-23.6
2584.385044704029,-20.0
2584.749822600028,-20.2
2585.1145442330812,-14.6
2585.479209607465,-16.4
2585.843818727444,-19.8
2586.208371597293,-24.2
2586.572868221275,-26.2
2586.937308603663,-14.8
2587.301692748734,-25.4
2587.666020660746,-20.2
2588.030292343974,-20.4
2588.3945078026973,-19.0
2588.758667041182,-19.6
2589.122770063699,-15.4
2589.486816874523,-17.6
2589.850807477928,-13.2
2590.2147418781847,-22.4
2590.5786200795724,-18.2
2590.9424420863625,-17.4
2591.306207902829,-18.8
2591.66991753325,-21.4
2592.0335709819014,-18.4
2592.3971682530514,-24.2
2592.7607093509905,-14.6
2593.1241942799825,-19.4
2593.4876230443133,-17.2
2593.850995648258,-21.0
2594.214312096096,-13.0
2594.577572392106,-14.2
2594.940776540562,-19.4
2595.3039245457535,-18.2
2595.6670164119514,-22.8
2596.0300521434433,-19.8
2596.3930317445047,-23.4
2596.7559552194166,-17.0
2597.1188225724613,-20.2
2597.4816338079236,-19.2
2597.844388930086,-24.4
2598.207087943227,-18.8
2598.5697308516337,-20.6
2598.9323176595904,-14.8
2599.2948483713776,-21.4
2599.6573229912847,-20.2
2600.019741523592,-14.6
2600.3821039725904,-21.2
2600.7444103425587,-17.8
2601.106660637786,-24.2
2601.468854862561,-18.4
2601.8309930211685,-22.4
2602.1930751179,-15.6
2602.5551011570383,-21.8
2602.917071142874,-23.8
2603.278985079695,-21.2
2603.6408429717917,-22.6
